Project Code,Data Type,RES_SEC,Date,Hour,Value
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,23,735.531
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,24,735.523
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,1,735.51
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,2,735.501
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,3,735.51
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,4,735.499
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,5,735.49
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,6,735.49
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,7,735.478
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,8,735.471
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,9,735.466
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,10,735.45
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,11,735.449
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,12,735.451
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,13,735.438
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,14,735.428
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,15,735.427
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,16,735.412
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,17,735.417
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,18,735.4
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,19,735.402
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,20,735.39
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,21,735.38
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,22,735.37
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,23,735.378
LAJ,RSE,R1 - Downtown Reservoir,2010-01-16,24,735.375
LAJ,RSE,R1 - Downtown Reservoir,2010-01-17,1,735.369
